6320,5391
2721,4222
5066,3396
2916,6371
6495,7067
3952,3919
7370,4279
4149,6526
7688,6246
9344,8190
5281,4161
3333,5442
1199,8724
6797,4874
5578,2738
6705,6134
3498,3653
4573,3281
3058,3446
2505,5821
7375,5433
5305,6667
4484,3896
4182,4681
3976,5747
7279,824
5951,7533
2217,6350
3899,3095
5752,3667
2921,4642
6438,4646
8271,3538
7073,6543
5832,6385
2098,3739
2340,5071
4169,3727
3920,8304
7341,4959
5205,3110
6919,4415
3240,4085
1507,7337
5355,3627
4687,3568
6934,5697
4954,4191
4624,1388
6066,5464
5742,6850
7858,4972
3606,6909
3988,4434
5483,3465
4131,3233
3516,6012
6472,7409
6833,3542
7695,5562
7047,7136
6114,6575
2530,3405
7120,6005
3127,4971
2797,5812
5821,4345
3751,5049
5068,2867
5722,3243
4284,4140
6302,6985
4682,4313
7692,4608
2757,3280
1542,5563
4134,6081
5570,7403
6439,6420
2425,4574
6984,5209
5140,3856
7958,6957
6356,5950
3661,4165
2878,6466
2857,3652
2504,6077
6693,7769
6698,4126
4469,3494
5508,3936
3200,3270
2431,4291
777,6976
7446,6740
3349,4411
4905,3675
6569,5679
7048,4554
3582,5448
3046,5753
5494,1672
6790,6723
6695,4647
4375,5548
8303,5693
3873,6347
5920,6049
7577,6006
6330,5237
9129,8792
2675,5172
6790,5382
6403,7716
6343,4836
4260,2897
9941,8065
5843,5284
3980,3646
4643,3866
8878,3403
3508,6272
2616,3779
5889,7062
3046,3837
3603,3353
1971,5915
5929,2859
4387,3077
6647,6822
4399,6214
4857,3022
2582,3113
1579,9205
6799,6322
7139,5616
7097,4162
3996,4055
2871,3053
6199,8080
4057,3522
6168,3774
4560,3698
3045,4370
2141,5401
6916,7483
8173,6422
6219,4502
5289,2628
7490,5079
2890,5926
2108,4288
3155,7001
5369,3022
2705,6229
4773,4581
6755,5103
3806,3919
5815,3411
2312,3490
5553,7000
5267,3372
2130,6694
7919,4522
3963,4055
3237,3869
4494,4153
2756,4744
7155,6912
3549,3941
4428,4576
6520,6773
6764,4390
5928,4755
4980,3396
5046,4108
6112,5752
7317,6107
7742,6034
4301,6562
4772,3993
3434,3306
2259,3983
6988,5409
2791,6907
4773,3433
7268,3871
6023,7269
2862,5270
5030,4434
4146,4218
5512,4108
6078,5162
5106,3538
7482,4626
7671,4121
6361,6734
6348,6167
6080,7044
2724,4349
7626,4496
3751,6544
3938,5976
7387,5898
5253,7303
6201,3475
6373,4295
2648,4062
4503,3345
5560,3815
6771,7289
4571,5802
6634,5942
5756,6632
2907,4224
5905,7824
6316,5018
5765,7117
6974,6791
6192,5628
4343,3482
3654,5856
5768,3008
4349,3861
4002,3832
5888,6928
2490,5600
3805,3389
4845,3495
5345,3194
2326,3803
7346,4437
6610,6452
7225,4662
3653,6286
3973,4620
8059,3797
3111,3658
3005,5536
4448,4741
6686,7146
7400,6525
7167,4891
5706,4583
2829,2796
3177,4598
5407,3761
4914,3083
2926,3270
3473,5790
4953,3935
2765,3561
3266,4970
7305,5832
3161,6272
2660,4989
1418,8847
3877,4347
3785,4800
3825,5286
4800,3663
7692,4877
3456,4395
6654,5533
5299,3737
7544,5435
5990,3173
5002,3292
7815,5511
5419,3560
5729,5524
3118,4076
6658,4884
2258,5900
6718,7648
3262,6525
2659,3615
5935,6808
3498,6744
6766,4029
6234,7192
6716,5252
4205,4482
6961,6429
6094,7568
6789,5911
2684,6126
3587,4959
5190,2869
4341,3690
3457,4600
6975,4324
4401,4367
4655,6042
3085,5278
2984,4013
2988,6514
4082,3664
5728,2568
5575,6548
2434,6392
7670,6456
6893,4952
4603,3490
6608,4604
2846,5511
7016,6166
1894,6610
4404,6780
1932,3945
3827,6064
3601,5176
3451,4209
3188,5989
3369,5558
5946,3846
5107,4582
4842,3271
2890,6249
3630,3523
7083,3782
6206,7320
4387,4013
2171,4607
7816,5180
6590,6563
5693,2821
6041,2668
3275,3465
4217,5851
5294,3465
5360,2796
7138,5752
3717,4059
4834,3916
2904,5003
6496,4689
5600,3205
3589,7110
4064,3091
3315,3156
5719,6178
4005,5562
5238,3551
7627,5288
5264,3261
4185,4858
7533,5657
6713,4972
2563,4705
7178,7097
8044,5002
4959,3713
3423,3879
2819,3983
4905,2901
3440,5291
6812,4585
7257,4100
6315,6436
4133,3887
7001,5862
6787,5603
5677,4016
6737,7049
3638,3102
4460,3814
5279,4073
3973,6621
6359,7594
2913,6709
4622,4435
4619,3951
3391,4061
4710,3725
5083,3123
6598,4253
5569,3639
7099,5019
